id,municipio,data_envio
68,Castro,2025-01-15 12:36:30.141064
77,Reserva do Iguaçu,2025-02-04 14:36:08.220103
108,Jaguariaíva,2025-02-04 17:08:00.325336
74,Presidente Castelo Branco,2025-02-04 19:10:18.525359
72,Quedas do Iguaçu,2025-02-05 15:25:00.180022
112,Laranjeiras do Sul,2025-02-05 16:25:17.175290
113,Colorado,2025-02-05 17:07:36.799383
87,Mato Rico,2025-02-07 08:31:50.916968
68,Castro,2025-02-07 08:35:46.807387
95,Atalaia,2025-02-07 10:07:08.738891
117,Mandaguaçu,2025-02-07 11:50:47.016685
105,Jardim Alegre,2025-02-07 14:12:33.178669
71,Cruzeiro do Sul,2025-02-07 14:36:59.372148
90,Barracão,2025-02-07 15:13:15.991096
115,Kaloré,2025-02-07 15:49:43.915672
97,Borrazópolis,2025-02-10 08:20:21.734164
96,Ibaiti,2025-02-10 08:55:32.577815
79,Santa Maria do Oeste,2025-02-10 09:22:59.995400
89,Rio Negro,2025-02-10 11:09:04.459936
116,Cambará,2025-02-10 11:16:23.317028
107,Capanema,2025-02-10 11:41:56.408436
104,Nova Tebas,2025-02-10 14:44:41.470169
110,Apucarana,2025-02-10 15:00:36.163763
106,Tijucas do Sul,2025-02-10 15:19:53.954923
92,Ribeirão Claro,2025-02-10 15:38:51.163631
99,Santa Mariana,2025-02-10 16:13:04.771772
82,Campo Magro,2025-02-10 16:50:39.900144
109,Paraíso do Norte,2025-02-11 14:19:35.517909
98,São João do Triunfo,2025-02-12 11:54:21.251461
68,Castro,2025-02-14 08:34:14.414742
85,Francisco Beltrão,2025-02-18 15:49:25.952186
12,Céu Azul,2025-02-26 10:14:52.632353
68,Castro,2025-02-27 09:13:49.846968
39,Pato Bragado,2025-02-27 13:40:14.758749
9,Capitão Leônidas Marques,2025-03-06 15:45:01.078192
15,Diamante do Sul,2025-03-10 14:16:13.553740
46,São José das Palmeiras,2025-03-11 09:35:38.784118
53,Tupãssi,2025-03-12 08:36:02.225467
23,Iguatu,2025-03-13 15:31:37.177912
78,Jaguapitã,2025-03-17 15:20:37.452017
31,Medianeira,2025-03-18 09:08:57.649826
33,Missal,2025-03-18 10:02:02.826428
103,Lapa,2025-03-18 15:02:44.112367
24,Iracema do Oeste,2025-03-18 16:11:16.215570
14,Diamante D'Oeste,2025-03-19 15:51:43.945706
52,Três Barras do Paraná,2025-03-20 11:23:44.128037
81,São João do Ivaí,2025-03-20 11:43:21.139995
44,Santa Tereza do Oeste,2025-03-20 13:48:50.212156
6,Brasilândia do Sul,2025-03-20 15:22:14.905637
7,Cafelândia,2025-03-20 16:48:16.227876
101,Campina da Lagoa,2025-03-21 08:51:04.476994
102,Palmital,2025-03-21 08:53:59.615652
84,Campo Largo,2025-03-21 09:41:12.047190
4,Boa Vista da Aparecida,2025-03-21 14:35:01.769153
80, Amaporã,2025-03-23 18:38:12.071912
22,Ibema,2025-03-24 14:06:10.180122
118,Ortigueira,2025-03-24 15:03:05.802778
75,Enéas Marques,2025-03-25 08:17:47.597798
91,Marmeleiro,2025-03-25 08:39:59.350466
68,Castro,2025-03-25 09:56:52.588167
68,Castro,2025-03-25 13:17:17.060248
73,Santa Mônica,2025-03-25 13:41:15.344144
86,Realeza,2025-03-25 15:01:22.964744
114,General Carneiro,2025-03-26 15:00:02.908106
68,Castro,2025-03-27 08:57:32.047128
76,Cerro Azul,2025-03-27 10:44:03.171173
100,Santana do Itararé,2025-03-27 11:56:37.927207
37,Ouro Verde do Oeste,2025-03-27 15:04:13.667195
83,São João do Caiuá,2025-03-28 16:37:04.227030
36,Nova Santa Rosa,2025-03-31 10:04:57.705587
48,São Pedro do Iguaçu,2025-04-01 06:56:56.286062
40,Quatro Pontes,2025-04-01 13:41:55.915532
93,Rio Branco do Sul,2025-04-01 16:21:51.722878
21,Guaraniaçu,2025-04-02 14:16:49.620901
30,Matelândia,2025-04-02 16:04:48.018229
68,Castro,2025-04-04 10:07:31.647763
25,Itaipulândia,2025-04-04 15:16:05.253254
41,Ramilândia,2025-04-07 09:15:12.598314
49,Serranópolis do Iguaçu,2025-04-08 16:54:54.563653
70, Alto Paraná,2025-04-09 10:42:26.030226
5,Braganey,2025-04-10 09:25:59.307906
10,Cascavel,2025-04-10 14:45:42.807217
94,Salgado Filho,2025-04-14 16:45:39.709153
17,Formosa do Oeste,2025-04-15 10:38:37.459041
35,Nova Aurora,2025-04-16 14:23:42.648700
47,São Miguel do Iguaçu,2025-04-22 09:17:11.439921
42,Santa Helena,2025-04-25 11:19:56.860643
50,Terra Roxa,2025-05-12 14:01:56.580414
10,Cascavel,2025-05-15 15:09:02.417342
28,Marechal Cândido Rondon,2025-05-21 12:10:44.500831
67,Belém,2025-05-25 22:45:35.795416
1,Altônia,2025-07-09 14:28:46.531444
3,Assis Chateaubriand,2025-07-09 18:57:31.790826
45,Santa Terezinha de Itaipu,2025-07-15 09:46:04.516903
26,Jesuítas,2025-07-16 14:26:39.337252
68,Castro,2025-07-21 11:20:54.967528
68,Castro,2025-07-21 11:35:20.564511
51,Toledo,2025-07-29 10:02:01.621767
16,Entre Rios do Oeste,2025-08-05 14:50:20.056130
34,Mundo Novo,2025-08-06 13:06:53.479338
18,Foz do Iguaçu,2025-08-08 10:49:20.531513
11,Catanduvas,2025-08-12 11:05:36.931021
68,Castro,2025-08-18 15:33:50.325130
38,Palotina,2025-08-21 09:20:16.352090
68,Castro,2025-09-01 15:29:06.605094
127,Cafezal do Sul,2025-09-11 10:32:41.409363
68,Castro,2025-09-15 11:33:04.465673
68,Castro,2025-09-15 14:18:09.001829
140,Paranhos,2025-09-16 09:23:04.748328
143,Esperança Nova,2025-09-16 10:58:04.524546
126,Tacuru,2025-09-16 11:14:34.927032
121,Nova Olímpia,2025-09-17 08:32:46.798629
124,Eldorado,2025-09-17 12:01:52.090850
156,Santa Cruz de Monte Castelo,2025-09-17 13:26:01.861205
141,Japorã,2025-09-17 16:00:13.763288
151,Nova Londrina,2025-09-18 10:18:33.169377
120,Iporã,2025-09-22 13:35:39.245905
163,Alto Paraíso,2025-09-22 15:28:34.756751
130,São Jorge do Patrocínio,2025-09-22 16:11:03.159310
122,Douradina,2025-09-22 16:50:08.460003
142,Naviraí,2025-09-23 12:17:33.105806
139,Xambrê,2025-09-24 08:37:04.418179
137,Mariluz,2025-09-25 08:27:39.893912
145,Icaraíma,2025-09-26 09:38:50.525650
125,Maria Helena,2025-09-26 10:19:05.289213
162,Santa Isabel do Ivaí,2025-09-26 16:49:23.562993
138,Juti,2025-09-29 09:18:00.206147
68,Castro,2025-09-29 11:30:21.261603
164,Ivaté,2025-09-29 14:18:31.151170
133,Umuarama,2025-09-29 16:18:18.639565
150,Cruzeiro do Oeste,2025-10-01 09:28:26.471419
134,Amambai,2025-10-01 11:22:50.594212
144,Perobal,2025-10-01 19:33:33.767199
135,Caarapó,2025-10-02 11:43:50.351494
132,Pérola,2025-10-03 09:03:50.914808
149,Loanda,2025-10-03 10:52:45.461202
157,Marilena,2025-10-03 16:06:06.621139
165,Tapira,2025-10-06 09:22:46.181911
129,Iguatemi,2025-10-06 11:38:20.897681
136,Itaquiraí,2025-10-08 09:28:12.144179
152,Diamante do Norte,2025-10-10 15:06:54.196847
155,Porto Rico,2025-10-13 11:01:27.789799
68,Castro,2025-10-13 13:38:07.113256
123,Alto Piquiri,2025-10-13 14:28:27.455622
69,Mandaguari,2025-10-15 16:29:28.278353
111,Coronel Vivida,2025-10-27 10:40:53.920900
88,São João,2025-10-27 10:42:22.644770
68,Castro,2025-10-29 09:31:35.474324
68,Castro,2025-11-05 14:26:57.217937
29,Maripá,2025-11-11 10:11:29.767727
68,Castro,2025-11-24 12:20:53.820393
32,Mercedes,2025-11-26 14:46:26.943429
95,Atalaia,2025-12-02 10:31:16.226795
2,Anahy,2025-12-08 10:35:40.859726
