id,razao_social,cnpj,uvr,uvr_numero,municipio,data_envio
85,Associação dos Agentes Ambientais Prestadores de Serviço de Coleta de Materiais Recicláveis de Tijucas do Sul PR,11824840000195,TIJUCAS DO SUL - UVR 01,1,Tijucas do Sul,2025-02-10 19:01:32.613736
100,ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE IRACEMA DO OESTE ,36702882000184,IRACEMA DO OESTE - UVR 01,1,Iracema do Oeste,2025-03-19 15:31:38.744577
76,COOPERATIVA DE CATADORES E LOGÍSTICA RESERVA ,44813192000120,COLORADO - UVR 01,1,Colorado,2025-02-07 15:14:09.650973
90,associacao de catadoras e catadores de materiais reciclaveis de tupassi,18260266000139,TUPASSI - UVR 01,1,Tupãssi,2025-02-26 14:07:43.295573
99,ASCAMAR - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE JAGUAPITA,07257517000100,JAGUAPITÃ - UVR 01,1,Jaguapitã,2025-03-18 15:52:15.550307
86,Associação dos Recicladores Amigos da Natureza,37076074500014,JAGUARIAÍVA - UVR 01,1,Jaguariaíva,2025-02-11 13:56:28.007363
64,ASSOCIAÇÃO DOS AGENTES RECICLADORES DE MATO RICO,60164329000110,MATO RICO - UVR 01,1,Mato Rico,2025-02-05 13:48:38.472727
92,Cooperativa de Trabalho dos Recicladores de Capitão Leônidas Marques,41175648000186,CAPITÃO LEONIDAS MARQUES - UVR 01,1,Capitão Leônidas Marques,2025-03-06 09:10:25.070830
113,COOPERATIVA DE TRABALHO DE AGENTES ECOLOGICOS-COOPERTRAGE,18867389000132,SÃO JOÃO DO TRIUNFO - UVR 01,1,São João do Triunfo,2025-03-21 13:41:22.301690
65,ASSOCIAÇÃO  RIONEGRENSE DE CATADORES,50152600000143,RIO NEGRO - UVR 01,1,Rio Negro,2025-02-05 14:40:46.170719
77,COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLAVEIS DE NOVA ESPERANÇA,54042369000196,ATALAIA - UVR 01,1,Atalaia,2025-02-07 15:28:01.262186
81,COOPERATIVA DOS CATADORES DE MATERIAIS RECICLAVEIS DE CAMBARA ,20717173000132,CAMBARA - UVR 01,1,Cambará,2025-02-10 14:13:16.474243
67, Cooperativa de Trabalho de Catadores de Materiais Reciclaveis e de Residuos Solidos de Ribeirao Claro - COTRARI,25421412000126,RIBEIRÃO CLARO - UVR 01,1,Ribeirão Claro,2025-02-05 15:49:00.583706
60,CONCAVES,08146050000193,BELÉM - UVR 03 - CONCAVES,3,Belém,2025-01-10 21:14:19.319363
79,ASSOCIAÇÃO DOS CATADORES DE MATERIAS RECICLAVEIS DE SANTA MARIANA,28637045000190,SANTA MARIANA - UVR 01,1,Santa Mariana,2025-02-10 09:55:02.523198
84,ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS DOIS IRMÃOS DE LARANJEIRAS DO SUL,24198328000122,LARANJEIRAS DO SUL - UVR 01,1,Laranjeiras do Sul,2025-02-10 17:30:23.358832
