gm_nome,guvr_id,guvr_numero,guvr_nome,media_1_receita_vendas,media_1_receita_servicos,media_1_despesas,media_1_material_reciclado,media_1_rejeito,media_1_total_material_processado,media_1_postos_de_trabalho,media_1_renda_media,media_2_receita_vendas,media_2_receita_servicos,media_2_despesas,media_2_material_reciclado,media_2_rejeito,media_2_total_material_processado,media_2_postos_de_trabalho,media_2_renda_media
Altônia,3,1,ALTÔNIA - UVR 01,37244.57,23144.78,6245.06,39.27,4.1,43.36,15.0,2285.71,46949.44,15779.5,17474.41,48.08,6.31,54.39,16.0,3250.0
 Amaporã,107,1,AMAPORÃ - UVR 01,,,,,,,,,4870.42,0.0,100.0,8.43,9.7,13.28,6.0,845.21
Anahy,39,1,ANAHY - UVR 01,6983.97,4387.59,845.91,8.56,3.81,10.47,5.0,2658.7,7073.83,10561.97,6079.5,9.69,2.58,12.27,5.0,2832.29
Apucarana,75,1,APUCARANA - UVR 01,,,,,,,,,114534.97,130830.37,152708.83,118.76,30.71,149.47,58.0,1549.33
Assis Chateaubriand,20,1,ASSIS CHATEAUBRIAND - UVR 01,65291.27,27065.61,5594.09,71.08,19.8,90.88,38.0,2931.39,81006.67,33127.42,15497.61,83.75,32.19,115.94,39.0,2569.47
Atalaia,76,1,ATALAIA - UVR 01,,,,,,,,,8130.91,6025.0,2950.0,8.72,4.27,12.99,5.0,2379.03
Barracão,77,1,BARRACÃO - UVR 01,,,,,,,,,17288.97,0.0,1465.63,16.96,0.0,16.96,11.0,1304.9
Belém,71,1,BELÉM - UVR 01 - ARAL,36019.25,26000.0,21894.02,34.34,20.0,44.34,25.0,500.0,38768.69,30233.31,22155.34,47.9,3.0,50.9,25.0,1211.39
Belém,70,2,BELÉM - UVR 02 - ACCSB,31198.48,28250.0,9473.61,57.18,2.2,59.38,31.0,835.0,24668.51,25553.33,29040.85,41.85,5.74,47.59,33.0,705.0
Belém,69,3,BELÉM - UVR 03 - CONCAVES,21693.1,8000.0,7923.31,17.84,0.83,18.68,17.0,1300.0,24080.99,8912.05,11825.21,30.78,1.0,31.78,15.0,1491.65
Belém,72,4,BELÉM - UVR 04 - FILHOS DO SOL,21935.76,17000.0,2034.74,41.67,2.25,43.92,10.0,1788.43,23838.4,22475.12,2204.58,46.22,9.05,55.27,11.0,2001.19
Boa Vista da Aparecida,16,1,BOA VISTA DA APARECIDA - UVR 01,15194.68,4000.0,3475.0,17.98,3.04,18.99,11.0,1329.71,17287.37,5250.0,2253.26,18.19,3.2,21.39,10.0,2155.8
Borrazópolis,79,1,BORRAZÓPOLIS - UVR 01,,,,,,,,,19739.15,58792.25,24933.15,21.94,8.17,28.75,22.0,2598.2
Braganey,28,1,BRAGANEY - UVR 01,13795.07,8166.92,1530.46,16.28,2.33,18.22,10.0,2157.77,13896.08,8009.5,2981.5,14.99,1.79,16.78,10.0,1776.42
Brasilândia do Sul,29,1,BRASILÂNDIA DO SUL - UVR 01,6658.62,5251.67,227.8,9.71,2.11,11.82,6.0,2136.95,10964.81,7055.39,4057.2,11.92,2.89,14.81,7.0,2416.0
Cafelândia,30,1,CAFELÂNDIA - UVR 01,54141.75,37304.15,10348.74,76.13,22.77,95.1,53.0,2025.27,58626.27,39861.6,44017.66,68.9,19.14,84.85,48.0,2215.28
Cambará,80,1,CAMBARA - UVR 01,,,,,,,,,50599.94,16250.0,25686.53,48.62,8.42,57.04,20.0,2419.08
Campina da Lagoa,108,1,CAMPINA DA LAGOA - UVR 01,,,,,,,,,19807.93,0.0,1463.3,18.37,5.43,23.8,6.0,4511.85
Campo Bonito,60,1,CAMPO BONITO - UVR 01,14401.65,19954.94,7737.83,12.77,3.82,16.59,8.0,2941.75,14226.2,21325.0,9987.85,12.71,2.06,14.77,8.0,3475.58
Campo Largo,109,1,CAMPO LARGO - UVR 01,,,,,,,,,38782.77,0.0,9759.5,35.64,12.0,43.64,25.0,1414.31
Campo Largo,111,2,CAMPO LARGO - UVR 02,,,,,,,,,11304.82,4760.16,7888.87,9.26,4.9,14.16,7.0,1291.82
Campo Largo,110,3,CAMPO LARGO - UVR 03,,,,,,,,,49451.53,8188.36,4112.15,45.11,12.0,57.11,14.0,3666.67
Campo Largo,113,4,CAMPO LARGO - UVR 04,,,,,,,,,20047.06,0.0,5426.41,19.26,11.0,22.93,12.0,1100.0
Campo Largo,112,5,CAMPO LARGO - UVR 05,,,,,,,,,52597.47,8245.13,63540.67,48.01,14.67,55.35,22.0,1518.0
Campo Magro,81,1,CAMPO MAGRO - UVR 01,,,,,,,,,124924.42,45926.78,16306.39,119.06,36.33,155.39,38.0,4093.43
Capanema,82,1,CAPANEMA - UVR 01,,,,,,,,,31494.5,0.0,4274.13,29.87,8.99,35.86,10.0,3317.06
Capitão Leônidas Marques,18,1,CAPITÃO LEONIDAS MARQUES - UVR 01,60675.7,21583.99,29424.68,60.55,8.95,69.49,19.0,2842.82,61750.79,20686.1,28255.76,57.6,9.51,67.1,18.0,3004.98
Cascavel,57,1,CASCAVEL - UVR 01 - MANAUS,61687.35,13737.88,29110.04,82.79,16.21,96.3,22.0,2039.74,53308.19,11211.27,21650.68,70.72,12.57,83.29,23.0,1818.79
Cascavel,41,2,CASCAVEL - UVR 02 - CAREMEL,64301.43,11845.97,24821.97,83.84,17.33,101.16,25.0,2179.3,80555.15,34365.47,21276.47,93.32,14.22,107.54,28.0,2442.85
Cascavel,42,3,CASCAVEL - UVR 03 - SANTA CRUZ,34305.12,12683.75,21868.04,41.12,15.62,56.74,22.0,1100.33,36322.37,30344.05,30855.24,53.96,14.75,68.7,20.0,1157.19
Cascavel,43,4,CASCAVEL - UVR 04 - CASCAVEL VELHO,38233.76,16294.15,15650.36,34.64,7.88,42.52,22.0,1745.03,42883.57,0.0,14773.93,39.51,8.43,41.62,23.0,1874.03
Cascavel,44,5,CASCAVEL - UVR 05 - BRASÍLIA,32014.36,18558.95,16500.28,37.08,9.25,46.33,23.0,2143.52,26316.7,862.33,14495.53,34.31,7.95,42.26,23.0,1575.0
Cascavel,47,6,CASCAVEL - UVR 06 - QUEBEC,20033.9,5846.33,7658.17,17.7,5.5,23.2,16.0,1159.37,21255.66,4694.15,12153.56,18.24,6.59,24.83,22.0,1214.38
Castro,73,1,RECICLACASTRO,123.0,12000.0,2550.0,0.01,0.12,0.13,8.0,2500.0,186.0,1160.0,810.5,0.21,0.31,0.52,10.0,1475.0
Catanduvas,17,1,CATANDUVAS - UVR 01,27401.93,11238.33,1589.61,26.77,3.59,30.36,10.0,3498.67,27146.85,11094.33,4940.62,24.38,8.03,32.41,9.0,3791.52
Cerro Azul,115,1,CERRO AZUL - UVR 01,,,,,,,,,17819.59,4862.66,1950.07,16.28,5.8,21.12,7.0,1683.33
Céu Azul,61,1,CÉU AZUL - UVR 01,91180.29,7239.71,56241.86,65.82,7.71,73.52,15.0,1759.11,88135.53,7290.0,59395.33,63.18,8.04,71.23,16.0,1814.76
Colorado,83,1,COLORADO - UVR 01,54448.79,16400.46,16564.62,60.66,3.49,64.15,25.0,2090.26,56322.5,17036.7,17421.26,55.32,3.22,58.54,27.0,2098.13
Corbélia,24,1,CORBÉLIA - UVR 01,47524.73,51997.13,6655.77,62.59,15.44,78.02,41.0,2583.33,60544.73,57843.16,12114.79,67.58,22.77,90.34,43.0,2646.67
Cruzeiro do Sul,84,1,CRUZEIRO DO SUL - UVR 01,,,,,,,,,11009.23,6000.0,4220.38,11.0,4.98,15.98,6.0,2481.26
Diamante D'Oeste,27,1,DIAMANTE D'OESTE - UVR 01,13462.87,12444.85,5593.94,19.24,3.28,20.88,13.0,1871.87,16908.15,17885.1,6899.92,25.96,6.83,32.79,17.0,1928.1
Diamante do Sul,1,1,DIAMANTE DO SUL - UVR 01,4138.69,200.0,1413.33,3.45,0.0,3.45,1.0,3203.39,4440.45,0.0,1079.5,4.32,0.0,4.32,1.0,4426.85
Enéas Marques,116,1,ENÉAS MARQUES - UVR 01,,,,,,,,,7868.24,0.0,92.66,12.86,0.0,12.86,4.0,1997.15
Entre Rios do Oeste,37,1,ENTRE RIOS DO OESTE - UVR 01,20147.66,8496.6,1882.97,23.99,2.78,26.76,12.0,2989.53,23898.98,10853.23,4579.17,26.54,4.2,30.75,12.0,3062.32
Formosa do Oeste,26,1,FORMOSA DO OESTE - UVR 01,9643.76,0.0,0.0,8.5,3.78,12.27,6.0,1612.15,8377.28,0.0,993.5,10.28,0.1,10.38,6.0,1519.5
Foz do Iguaçu,62,2,FOZ DO IGUAÇU - UVR 02,25357.7,38951.15,39015.65,44.1,6.46,50.56,18.0,1550.07,34274.66,40808.21,40808.21,44.25,6.62,50.87,17.0,2055.82
Foz do Iguaçu,66,3,FOZ DO IGUAÇU - UVR 03,29191.97,38304.92,21325.03,40.94,4.32,45.26,20.0,3165.29,29112.8,39710.75,29690.94,43.0,6.27,49.26,20.0,2764.41
Foz do Iguaçu,7,4,FOZ DO IGUAÇU - UVR 04,34157.55,36501.33,50801.26,36.6,6.73,43.33,22.0,2124.25,42276.46,37951.43,37951.43,44.61,5.9,50.51,24.0,2452.14
Foz do Iguaçu,8,5,FOZ DO IGUAÇU - UVR 05,21459.0,33358.97,29077.44,32.27,6.31,36.47,15.0,2342.98,37645.35,37912.08,37912.08,45.0,6.75,51.75,17.0,2610.64
Foz do Iguaçu,58,6,FOZ DO IGUAÇU - UVR 06,36758.41,41010.47,20170.24,47.95,6.99,46.95,19.0,2176.16,44415.2,42724.74,21471.93,46.14,7.03,53.17,20.0,2373.76
